school,school_id,conference,song_name,bpm,sec_duration,fight,victory,win_won,opponents,rah,nonsense,colors,men,official_song,primary_bucket,secondary_bucket,score_aggression,score_unity,score_tradition,score_pageantry,score_institutional,score_competitive_glory,lex_aggression_freq,lex_unity_freq,lex_tradition_freq,lex_pageantry_freq,lex_institutional_freq,lex_competitive_glory_freq
Illinois,illinois,Big Ten,Oskee-Wow-Wow,162,60,0,1,0,1,1,1,1,1,1,Pageantry/Spectacle,,2.7503568556710842,1.3555555555555556,1.9713326063565788,3.411396595647979,1.7833333333333332,1.0888888888888888,0.0,0.044444444444444446,0.03333333333333333,0.08888888888888889,0.06666666666666667,0.011111111111111112
Indiana,indiana,Big Ten,"Indiana, Our Indiana",150,63,1,0,0,0,0,0,1,0,1,Institutional Pride,Aggression/Conflict,2.5408188068628323,1.4523809523809523,1.9914808205841414,0.12789314072836108,2.833333333333333,-1.5,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.0,0.16666666666666666,0.023809523809523808
Iowa,iowa,Big Ten,Iowa Fight Song,150,72,1,0,1,0,1,0,0,0,1,Aggression/Conflict,,4.493199759243784,0.13333333333333333,1.8728436699365478,2.1612264740616944,1.0333333333333332,-1.0333333333333332,0.16666666666666666,0.016666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.016666666666666666
Maryland,maryland,Big Ten,Maryland Fight Song,142,56,1,1,1,0,0,0,0,0,1,Aggression/Conflict,,5.242396615593838,0.6530612244897959,1.956656690013829,0.07963157818935689,0.8265306122448979,0.2551020408163265,0.14285714285714285,0.08163265306122448,0.02040816326530612,0.0,0.04081632653061224,0.04081632653061224
Michigan,michigan,Big Ten,The Victors,83,122,0,0,0,0,0,0,0,0,1,Tradition/Legacy,,-0.34537180691974895,0.0,2.676140033026246,1.4303692211308676,0.9266666666666667,0.32,0.0,0.0,0.0,0.21333333333333335,0.05333333333333334,0.04
Michigan State,michigan_state,Big Ten,Victory for MSU,145,112,1,1,1,0,1,0,1,0,1,Aggression/Conflict,,4.773324870874529,0.686046511627907,2.222291767983856,1.9698226873972975,1.7790697674418605,0.4534883720930233,0.08139534883720931,0.023255813953488372,0.0,0.046511627906976744,0.03488372093023256,0.03488372093023256
Minnesota,minnesota,Big Ten,The Minnesota Rouser,151,60,0,0,0,0,1,1,0,0,1,Pageantry/Spectacle,,0.16740729505717078,0.7529411764705882,1.7710255881810428,4.139808188986913,0.8764705882352941,0.0,0.0,0.09411764705882353,0.0,0.18823529411764706,0.047058823529411764,0.0
Nebraska,nebraska,Big Ten,Dear Old Nebraska U.,136,94,0,0,0,0,0,0,0,1,0,Unity/Brotherhood,,0.05429425785637965,1.3018867924528301,0.585738134862287,0.04343540628510373,0.7547169811320755,0.0,0.0,0.03773584905660377,0.05660377358490566,0.0,0.09433962264150944,0.0
Northwestern,northwestern,Big Ten,Go! U Northwestern,140,57,1,1,1,0,1,0,0,0,1,Aggression/Conflict,,4.414354641659751,0.4948453608247423,1.8134388900626415,2.062411548379348,1.2422680412371134,0.6649484536082476,0.041237113402061855,0.061855670103092786,0.0,0.061855670103092786,0.09278350515463918,0.041237113402061855
Ohio State,ohio_state,Big Ten,Buckeye Battle Cry,178,89,1,1,1,0,0,0,1,1,1,Aggression/Conflict,,4.796542676912212,2.0106382978723403,2.0098369311281625,0.38191499259359923,1.925531914893617,0.4574468085106381,0.05319148936170213,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.05319148936170213,0.02127659574468085
