conference,Aggression/Conflict,Chant/Cheer,School Pride,Tradition/Legacy,Unity/Brotherhood,score_aggression,score_unity,score_tradition,score_chant_cheer,score_institutional,score_competitive_glory
ACC,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.14285714285714285,2.2243712474515926,0.9417300336818867,1.9714075664801165,1.2022219478100011,1.347791804462025,0.16967178856150072
Big 12,0.6,0.0,0.1,0.3,0.0,3.2852895555694572,1.157262992657755,2.1907988019301667,0.8602113678423973,1.619069864400311,-0.5398437981386806
Big Ten,0.6666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,3.3710764069696975,1.2704015425584079,2.522365956656025,1.2860997914594496,1.4861947453047442,0.196230431664645
Independent,1.0,0.0,0.0,0.0,0.0,4.325891560430305,2.2547169811320753,2.5516383361417856,2.3946755124951875,2.4056603773584904,0.8773584905660377
Pac-12,0.625,0.0,0.125,0.25,0.0,3.338548779216927,1.322595716636203,2.004729436198538,0.40872128218958137,1.7399743357825632,-0.23489918237782972
SEC,0.7857142857142857,0.0,0.07142857142857142,0.14285714285714285,0.0,3.629493180355971,0.6177466834425516,2.0464294089025667,0.49911405610893717,1.2404793072680658,-0.06565084659450424
